tempavg,lightavg,humidityavg
21.6,96.4,41.2
23.2,93.5,48.3
21.6,97.2,44.8
21.3,97.4,45.3
22.9,97.4,43.1
21.3,96.4,41.2
23.2,93.5,47
21.6,97.2,44.5
21.6,97.4,45.3
23.5,97.4,43.7
21.6,96.4,41
23.5,94.8,44.5
23.5,96.3,43.1
24.2,97.6,43.4
22.9,97.8,46.6
24.5,98.2,44.5
22.9,98,42.9
24.5,98.2,42.6
22.6,97.6,47.3
22.9,97,46.9
21.9,96.7,49.1
22.6,97.8,45.9
22.9,96.4,48.1
21.3,95.7,48.1
21.6,94.2,52.2
21,95.6,49.4
21,93.6,53.3
21.3,94.7,52.6
20.6,94,52.1
21.3,96.8,48.5
22.3,97.5,49.6
23.2,96.5,45
23.5,97.7,46.7
23.9,97.8,46.1
24.5,98,40.9
25.5,98.7,39
24.5,98.1,39.8
22.9,95.8,47.8
23.9,98.4,41.5
23.2,97.8,48.8
23.9,97.5,47.5
21.9,96.7,46.1
23.5,95.5,49.1
21.3,94.6,46.9
21,96.4,46.1
22.6,94.9,47.8
21.3,96.7,46.2
21,97.8,52.6
22.3,98.1,48.1
23.5,97.7,47.5
21.9,97.4,45.9
22.6,98.5,43.7
23.9,97.7,48.9
21.6,98.1,46.4
23.2,97.5,49.2
21.6,97.9,47.2
20.3,93.5,52.4
19,92.9,53.8
18.4,92,57.4
18.7,93.4,52.6
19,89.3,58.4
18.1,88.3,59.3
18.7,82.7,60.4
17.7,78.7,60.9
18.1,81.8,55.7
18.4,74.2,61.5
17.4,64.9,60.9
18.4,67.8,61.7
17.7,69.8,56.3
18.1,54.5,63
17.4,43.4,62.2
18.1,30.1,62.2
18.1,10.5,63.1
17.4,9.7,61.5
18.1,5.4,62.5
17.7,4.6,63.4
17.1,7.4,62.8
17.7,13.4,56.8
17.7,4.6,63.4
17.1,7.7,63
17.7,4.4,64.1
17.1,7.2,62.3
17.7,4.6,63.6
17.1,7.3,62.8
18.1,4.5,63
17.1,7,63
17.7,13.1,57
17.7,4.4,63.3
17.7,13.5,57.4
17.7,4.5,63.9
17.1,7.4,63.4
17.7,4.5,64.4
17.4,7.1,64.1
17.7,13.2,57.9
17.7,4.5,64.9
17.1,7.8,63.9
17.7,4.5,64.1
17.1,7.1,63.4
17.4,12.2,58.5
17.7,4.6,64.4
17.1,7,64.4
17.7,4.7,64.5
17.1,7.1,64.4
17.7,4.7,64.7
17.1,7.3,64.9
17.7,13.1,59.5
17.7,4.7,64.4
17.4,7.4,64.4
17.4,12.5,59.5
17.7,4.7,64.9
17.4,7.1,64.4
17.7,12.5,59.5
18.1,4.7,65.8
17.4,7.4,64.1
17.7,12.9,59.5
18.1,4.6,64.9
17.4,7.4,64.7
17.7,12.7,59.6
17.7,4.7,64.7
17.4,7.5,64.5
18.1,4.7,65
17.4,7.1,64.4
18.1,4.8,65.2
17.4,7.2,65.2
17.7,13.3,60.1
17.7,4.7,65.8
17.7,13,60.1
17.7,4.8,65.6
17.4,7.1,65.2
17.7,12.9,60
17.7,4.8,65.2
17.7,4.8,65.6
17.4,7.3,66.1
17.7,13,60.4
17.7,4.8,66.3
17.1,7.1,66.1
17.7,13,60.8
17.4,4.8,66.3
17.1,7.3,66.9
17.4,13,60.9
17.4,4.8,66.1
17.4,7.2,66.4
17.4,13,61.7
17.7,4.8,66.4
17.4,7.2,66.7
17.4,13.1,61.4
17.7,4.8,66.3
17.4,13,61.7
17.7,4.7,66.3
17.7,12.9,62
17.7,4.6,66.4
17.4,7,66.9
17.7,13,61.7
17.7,4.6,66.3
17.4,7.1,66.4
17.7,12.9,61.5
17.7,4.4,65.8
17.4,6.9,65.8
17.4,12.6,60.3
17.4,4.4,66.4
17.4,12.7,61.2
17.4,7,66.7
17.4,12.8,60.9
17.7,4.3,66.3
17.4,6.9,65.6
17.4,12.3,61.1
17.4,4.3,66.7
17.4,12.2,61.7
17.4,4.3,66.7
17.1,12.3,60.9
17.4,4.4,66.4
17.1,6.8,66.3
17.1,12.3,60.9
17.1,4.4,65.2
16.8,6.8,64.7
17.1,12.8,60.1
17.1,4.4,65
16.5,6.9,64.9
16.5,12.4,60.3
16.8,4.2,65.6
16.5,12.7,60.9
16.8,4.2,66
16.1,6.7,66.3
16.5,12.7,60.9
16.8,4.2,66.1
16.1,6.8,67.2
16.5,12.6,61.1
16.5,4.2,65.8
15.8,6.8,67.1
16.5,3.3,66.3
16.1,12.9,61.5
16.5,3.7,66.9
15.8,7.4,68
16.5,6.4,67.2
15.8,9.9,68
16.1,18.6,62.2
16.5,19.6,66.7
15.5,22.7,68.9
16.1,48.4,67.2
15.8,48.8,68.9
16.1,71.5,67.7
15.8,80.4,62.3
16.1,81,67.4
16.5,86.6,68
15.8,83.4,68.8
16.5,89,67.7
16.1,86,67.5
16.1,90.1,67.1
16.1,91.1,68
16.8,88.9,66.6
16.1,92.7,67.7
16.1,92.7,67.8
19.7,92.5,58.4
16.5,93,67.2
16.5,93.2,66.9
16.8,93.4,66.6
16.5,94.1,61.1
16.8,93.4,66
16.8,94.1,60.9
23.9,95.5,51.3
17.4,93.8,64.5
23.9,95.3,50.5
17.4,94.3,58.7
17.7,93.7,64.1
26.1,95.6,47.8
17.4,94.5,57.9
18.1,93.8,63.7
17.7,94.6,57.8
18.1,93.9,62.2
26.8,95.6,46.1
18.1,94.8,57.1
18.7,94.1,63
18.4,94.3,63.4
25.8,94.7,48.9
18.4,95.4,57.8
18.1,94.6,63.9
18.4,95.4,57.8
18.4,95.1,63.9
19,95.7,61.5
19.7,96.2,60.6
19,92.1,58.5
19,95.2,55.9
20,96.4,59.3
19.7,92.3,57.6
20,96.5,59.6
20.3,96.5,58.2
20.3,96.5,56.8
20.3,94.2,55.1
21,97.2,51.1
23.5,97.2,51.9
22.6,95.6,52.4
25.8,97.8,43.4
24.5,97.2,49.2
24.8,96.3,47.8
27.4,97.2,45.6
22.6,96.1,48.6
25.8,97.9,41
26.8,97.3,45.1
24.8,96.7,47
26.5,97.9,39.9
26.5,97.5,42.5
26.8,97.4,41.8
27.7,96.9,41.7
27.7,98,38.7
27.4,97.5,40.4
27.1,98,39.3
28.1,96.9,41.2
26.5,97.3,41.5
27.4,96.9,40.4
25.8,98.2,41.5
27.1,97.4,40.3
28.1,97,37.7
26.8,97.4,36.3
27.4,97,36.3
27.4,97.7,38.4
30,98.1,31.6
28.1,97.6,34.1
31.6,97.2,28.9
31.9,97.3,23.5
31.6,96.1,14.1
31.6,97.5,12.7
31,96.7,8.1
31.3,96,10.5
32.3,98.4,12.2
31.3,97.3,9.4
32.6,97.7,11.4
32.3,97.4,11.4
31.6,96.8,9.2
31.9,96.5,10
32.6,97.8,12.8
33.5,97.4,14.9
32.3,95.2,10.9
30.6,96.2,11.2
31,94.8,10.8
31.3,95.5,12.5
31.3,97.9,12.8
32.3,97.8,10.8
31.3,92.5,9.5
32.3,97.5,13
31.3,91.5,13.9
30.6,95.2,11.9
31.9,97.4,7.5
31.3,96,12
31.9,96.3,10.9
31,92.9,8.4
30,94.5,11.1
31.6,97.5,13.5
31.3,97.4,13
31.3,96.4,10
31.6,95.9,13.1
31.9,98.6,11.4
